inspiratory tidal volume min,inspiratory tidal volume max,inspiratory tidal volume average,inspiratory tidal volume within tolerance,peak flow min,peak flow max,peak flow average,peak flow within tolerance,peak proximal pressure min,peak proximal pressure max,peak proximal pressure average,peak proximal pressure within tolerance,ie ratio min,ie ratio max,ie ratio average,ie ratio within tolerance,breath rate min,breath rate max,breath rate average,breath rate within tolerance,high pressure min,high pressure max,high pressure average,high pressure within tolerance,inspiratory time min,inspiratory time max,inspiratory time average,inspiratory time within tolerance,expiratory time min,expiratory time max,expiratory time average,expiratory time within tolerance,peep min,peep max,peep average,peep within tolerance,minute volume min,minute volume max,minute volume average,minute volume within tolerance
"463,96","476,96","470,96",True,"52,87","55,43","54,12",True,"29,44","29,84","29,67",True,"0,36","0,37","0,36",False,"19,06","19,51","19,22",True,"-0,17","0,19","0,00",False,"0,82","0,85","0,83",False,"2,25","2,31","2,29",True,"5,03","5,36","5,18",False,"8,98","9,27","9,14",True
"465,38","476,82","472,01",True,"53,90","55,90","54,90",True,"29,35","29,87","29,70",True,"0,36","0,37","0,37",False,"19,14","19,42","19,29",True,"-0,22","0,19","0,00",False,"0,82","0,85","0,83",False,"2,26","2,30","2,28",True,"5,02","5,31","5,16",False,"9,04","9,32","9,19",True
"467,21","481,04","471,90",True,"53,41","55,81","54,60",True,"29,53","30,05","29,66",True,"0,35","0,38","0,37",False,"19,19","19,78","19,33",True,"-0,19","0,19","0,00",False,"0,80","0,85","0,83",False,"2,20","2,29","2,27",True,"4,81","5,37","5,11",False,"9,08","9,54","9,22",True
"462,00","481,04","472,45",True,"53,19","55,74","54,53",True,"29,22","29,87","29,60",True,"0,36","0,38","0,37",False,"19,19","19,60","19,43",True,"-0,22","0,25","0,00",False,"0,82","0,85","0,84",False,"2,23","2,28","2,25",True,"4,81","5,21","4,98",True,"9,15","9,38","9,28",True
