parameter,low,target,high,minimum,average,maximum,unit,min time,max time
inspiratory tidal volume,456,480,504,"357,515622874549","479,744107093466","492,641908440359",mL,00:05:23,00:07:46
peak flow,"71,25",75,"78,75","67,3895557911941","74,8273202439526","87,3606415325645",L/m,00:08:33,00:07:35
peak proximal pressure,"10,45",11,"11,55","9,97815997222222","10,2103818022384","11,6439166944444",cmH2O,00:05:02,00:05:23
ie ratio,"0,2375","0,25","0,2625","0,258465791292329","0,285458297652488","0,62862669245648",,00:05:27,00:05:50
breath rate,"15,2",16,"16,8","16,4203612479475","17,6582168530979","35,7142857142857",bpm,00:00:18,00:08:10
high pressure,0,0,0,"-0,304876","-0,00665100851999995","0,221728",psi,00:00:07,00:05:03
inspiratory time,"0,76","0,8","0,84","0,638","0,752493273333344","0,774",s,00:00:14,00:04:36
expiratory time,"2,755","2,9","3,045","1,034","2,76956923333338","2,896",s,00:05:50,00:00:17
peep,"6,65",7,"7,35","5,99899225","6,30111941730507","8,62615016666667",cmH2O,00:07:42,00:05:23
minute volume,"7,6",8,"8,4","3,59365899886942","8,30677905509234","20,3094200563554",L,00:07:02,00:05:26
