inspiratory tidal volume min,inspiratory tidal volume max,inspiratory tidal volume average,inspiratory tidal volume within tolerance,peak flow min,peak flow max,peak flow average,peak flow within tolerance,peak proximal pressure min,peak proximal pressure max,peak proximal pressure average,peak proximal pressure within tolerance,ie ratio min,ie ratio max,ie ratio average,ie ratio within tolerance,breath rate min,breath rate max,breath rate average,breath rate within tolerance,high pressure min,high pressure max,high pressure average,high pressure within tolerance,inspiratory time min,inspiratory time max,inspiratory time average,inspiratory time within tolerance,expiratory time min,expiratory time max,expiratory time average,expiratory time within tolerance,peep min,peep max,peep average,peep within tolerance,minute volume min,minute volume max,minute volume average,minute volume within tolerance
"363,72","405,75","397,99",False,"65,71","87,73","72,69",False,"9,57","10,59","10,47",False,"0,24","0,29","0,28",False,"15,86","21,80","21,14",False,"-0,28","0,22","0,00",False,"0,61","0,74","0,63",False,"2,13","3,05","2,23",False,"3,49","4,12","4,03",False,"5,95","9,14","8,54",False
"364,21","379,22","372,45",False,"59,51","75,43","69,82",False,"9,47","9,81","9,60",False,"0,24","0,27","0,24",False,"15,70","17,44","15,99",False,"-0,28","0,25","0,00",False,"0,71","0,74","0,73",False,"2,72","3,09","3,02",False,"3,43","3,67","3,48",False,"5,73","6,64","5,97",False
"361,16","377,88","371,36",False,"57,22","74,99","65,06",False,"9,46","9,81","9,60",False,"0,24","0,27","0,24",False,"15,85","17,57","16,18",False,"-0,25","0,17","0,00",False,"0,71","0,74","0,73",False,"2,69","3,06","2,98",False,"3,44","3,73","3,51",False,"5,82","6,78","6,06",False
"368,78","378,08","374,05",False,"55,83","74,61","67,16",False,"9,56","9,72","9,66",False,"0,24","0,26","0,25",False,"16,21","17,43","16,47",False,"-0,19","0,19","0,00",False,"0,70","0,73","0,72",False,"2,72","2,98","2,92",False,"3,49","3,62","3,53",False,"6,06","6,61","6,19",False
