inspiratory tidal volume min,inspiratory tidal volume max,inspiratory tidal volume average,inspiratory tidal volume within tolerance,peak flow min,peak flow max,peak flow average,peak flow within tolerance,peak proximal pressure min,peak proximal pressure max,peak proximal pressure average,peak proximal pressure within tolerance,ie ratio min,ie ratio max,ie ratio average,ie ratio within tolerance,breath rate min,breath rate max,breath rate average,breath rate within tolerance,high pressure min,high pressure max,high pressure average,high pressure within tolerance,inspiratory time min,inspiratory time max,inspiratory time average,inspiratory time within tolerance,expiratory time min,expiratory time max,expiratory time average,expiratory time within tolerance,peep min,peep max,peep average,peep within tolerance,minute volume min,minute volume max,minute volume average,minute volume within tolerance
"595,92","605,85","601,38",True,"104,50","109,03","106,51",True,"30,27","30,57","30,46",True,"0,23","0,24","0,24",False,"20,72","21,55","21,10",False,"-0,11","0,11","0,00",False,"0,54","0,55","0,54",False,"2,23","2,35","2,30",False,"13,09","13,61","13,29",True,"12,60","13,28","12,88",False
"591,09","603,41","598,94",True,"105,43","108,34","106,91",True,"30,47","30,65","30,57",True,"0,24","0,25","0,25",True,"21,54","22,04","21,80",False,"-0,28","0,11","0,00",False,"0,54","0,54","0,54",False,"2,18","2,24","2,21",False,"13,37","13,66","13,51",False,"13,02","13,52","13,26",False
"595,61","602,62","599,17",True,"105,76","111,04","108,06",False,"30,48","30,71","30,59",True,"0,25","0,25","0,25",True,"21,90","22,47","22,21",False,"-0,03","0,22","0,00",False,"0,53","0,54","0,54",False,"2,13","2,20","2,16",False,"13,37","13,69","13,53",False,"13,30","13,72","13,52",False
"590,86","600,16","596,78",True,"106,02","140,53","109,61",False,"30,59","30,78","30,68",True,"0,25","0,25","0,25",True,"22,39","22,85","22,57",False,"-0,03","0,14","0,00",False,"0,53","0,54","0,53",False,"2,10","2,13","2,12",False,"13,49","13,85","13,69",False,"13,51","13,92","13,70",False
