inspiratory tidal volume min,inspiratory tidal volume max,inspiratory tidal volume average,inspiratory tidal volume within tolerance,peak flow min,peak flow max,peak flow average,peak flow within tolerance,peak proximal pressure min,peak proximal pressure max,peak proximal pressure average,peak proximal pressure within tolerance,ie ratio min,ie ratio max,ie ratio average,ie ratio within tolerance,breath rate min,breath rate max,breath rate average,breath rate within tolerance,high pressure min,high pressure max,high pressure average,high pressure within tolerance,inspiratory time min,inspiratory time max,inspiratory time average,inspiratory time within tolerance,expiratory time min,expiratory time max,expiratory time average,expiratory time within tolerance,peep min,peep max,peep average,peep within tolerance,minute volume min,minute volume max,minute volume average,minute volume within tolerance
"406,57","431,16","418,81",False,"71,18","87,01","80,99",False,"19,51","20,20","19,81",True,"0,31","0,35","0,33",False,"23,33","24,69","23,91",True,"-0,28","0,22","0,00",False,"0,60","0,65","0,62",False,"1,81","1,93","1,89",True,"13,58","14,48","13,99",True,"9,14","11,23","10,01",False
"408,85","433,70","421,15",False,"73,12","92,99","81,41",False,"19,38","20,19","19,71",True,"0,31","0,35","0,33",False,"23,49","24,55","24,11",True,"-0,30","0,25","0,00",False,"0,60","0,65","0,62",False,"1,82","1,92","1,87",True,"13,39","14,35","13,87",True,"9,08","11,21","10,14",False
"404,19","433,98","422,58",False,"74,21","89,29","83,92",False,"19,15","20,06","19,64",True,"0,27","0,36","0,32",False,"20,19","24,79","23,43",False,"-0,28","0,25","0,00",False,"0,60","0,65","0,62",False,"1,80","2,34","1,96",False,"13,26","14,30","13,76",False,"8,47","11,50","9,97",False
