inspiratory tidal volume min,inspiratory tidal volume max,inspiratory tidal volume average,inspiratory tidal volume within tolerance,peak flow min,peak flow max,peak flow average,peak flow within tolerance,peak proximal pressure min,peak proximal pressure max,peak proximal pressure average,peak proximal pressure within tolerance,ie ratio min,ie ratio max,ie ratio average,ie ratio within tolerance,breath rate min,breath rate max,breath rate average,breath rate within tolerance,high pressure min,high pressure max,high pressure average,high pressure within tolerance,inspiratory time min,inspiratory time max,inspiratory time average,inspiratory time within tolerance,expiratory time min,expiratory time max,expiratory time average,expiratory time within tolerance,peep min,peep max,peep average,peep within tolerance,minute volume min,minute volume max,minute volume average,minute volume within tolerance
"582,60","588,22","585,15",True,"58,85","63,83","61,25",False,"41,89","42,53","42,16",True,"0,30","0,32","0,31",False,"16,05","17,05","16,45",False,"-0,25","0,22","0,00",False,"0,85","0,88","0,86",False,"2,66","2,87","2,79",False,"14,82","15,62","15,11",False,"9,29","10,10","9,68",False
"584,80","590,60","588,40",True,"60,50","67,26","65,25",False,"41,89","43,43","42,90",True,"0,29","0,33","0,31",False,"16,17","17,92","17,23",False,"-0,22","0,25","0,00",False,"0,82","0,87","0,83",False,"2,52","2,84","2,65",False,"14,82","16,40","15,83",False,"9,48","10,64","10,18",False
"583,60","590,23","586,91",True,"60,62","66,41","63,64",False,"42,79","43,46","43,06",True,"0,31","0,34","0,32",False,"17,20","18,01","17,43",False,"-0,25","0,25","0,00",False,"0,82","0,84","0,84",False,"2,49","2,64","2,61",False,"15,84","16,54","16,09",True,"10,10","10,79","10,31",False
"583,60","589,78","586,76",True,"59,84","68,16","63,06",False,"42,85","43,32","43,06",True,"0,31","0,33","0,32",False,"17,06","17,55","17,34",True,"-0,22","0,25","0,00",False,"0,83","0,85","0,84",False,"2,57","2,67","2,62",True,"15,88","16,42","16,09",True,"10,13","10,52","10,25",False
"582,24","588,45","585,70",True,"59,76","65,55","62,54",False,"42,82","43,17","42,96",True,"0,31","0,33","0,32",False,"17,01","17,71","17,32",True,"-0,25","0,17","0,00",False,"0,83","0,85","0,84",False,"2,53","2,69","2,63",False,"15,81","16,55","16,04",True,"9,99","10,49","10,22",True
