inspiratory tidal volume min,inspiratory tidal volume max,inspiratory tidal volume average,inspiratory tidal volume within tolerance,peak flow min,peak flow max,peak flow average,peak flow within tolerance,peak proximal pressure min,peak proximal pressure max,peak proximal pressure average,peak proximal pressure within tolerance,ie ratio min,ie ratio max,ie ratio average,ie ratio within tolerance,breath rate min,breath rate max,breath rate average,breath rate within tolerance,high pressure min,high pressure max,high pressure average,high pressure within tolerance,inspiratory time min,inspiratory time max,inspiratory time average,inspiratory time within tolerance,expiratory time min,expiratory time max,expiratory time average,expiratory time within tolerance,peep min,peep max,peep average,peep within tolerance,minute volume min,minute volume max,minute volume average,minute volume within tolerance
"446,22","452,65","450,23",True,"72,89","82,85","77,67",False,"13,27","13,41","13,34",True,"0,36","0,38","0,38",False,"24,73","25,88","25,40",True,"-0,25","0,19","0,00",False,"0,64","0,66","0,65",False,"1,68","1,77","1,72",True,"6,85","6,99","6,91",True,"11,17","11,78","11,49",True
"446,87","454,60","451,18",True,"74,70","81,41","77,21",False,"13,26","13,39","13,31",True,"0,36","0,38","0,37",False,"24,33","25,86","25,01",True,"-0,28","0,25","0,00",False,"0,63","0,66","0,65",False,"1,68","1,81","1,75",False,"6,84","6,95","6,88",True,"11,01","11,79","11,35",True
"450,76","455,64","453,76",True,"73,05","80,19","76,50",False,"13,29","13,41","13,34",True,"0,35","0,38","0,37",False,"24,29","25,66","24,76",True,"-0,28","0,25","0,00",False,"0,64","0,67","0,65",False,"1,69","1,82","1,78",False,"6,82","6,97","6,87",True,"10,95","11,87","11,29",True
