inspiratory tidal volume min,inspiratory tidal volume max,inspiratory tidal volume average,inspiratory tidal volume within tolerance,peak flow min,peak flow max,peak flow average,peak flow within tolerance,peak proximal pressure min,peak proximal pressure max,peak proximal pressure average,peak proximal pressure within tolerance,ie ratio min,ie ratio max,ie ratio average,ie ratio within tolerance,breath rate min,breath rate max,breath rate average,breath rate within tolerance,high pressure min,high pressure max,high pressure average,high pressure within tolerance,inspiratory time min,inspiratory time max,inspiratory time average,inspiratory time within tolerance,expiratory time min,expiratory time max,expiratory time average,expiratory time within tolerance,peep min,peep max,peep average,peep within tolerance,minute volume min,minute volume max,minute volume average,minute volume within tolerance
"598,58","604,33","600,54",True,"75,53","79,28","76,91",False,"35,24","35,60","35,39",True,"0,21","0,23","0,22",False,"14,72","15,59","15,07",True,"-0,14","0,17","0,00",False,"0,71","0,72","0,71",True,"3,14","3,36","3,27",True,"4,86","5,35","5,04",False,"8,96","9,55","9,20",True
"599,15","603,19","601,65",True,"75,20","77,66","76,47",True,"35,23","35,49","35,33",True,"0,21","0,22","0,21",False,"14,58","14,99","14,78",True,"-0,11","0,28","0,00",False,"0,71","0,72","0,72",True,"3,28","3,40","3,34",True,"4,77","5,02","4,91",True,"8,89","9,15","9,02",True
"599,09","603,14","600,62",True,"75,36","77,66","76,50",True,"35,18","35,60","35,31",True,"0,21","0,22","0,22",False,"14,66","15,29","14,87",True,"-0,06","0,17","0,00",False,"0,71","0,72","0,72",True,"3,21","3,38","3,32",True,"4,79","5,21","4,94",True,"8,93","9,42","9,07",True
"600,08","605,63","602,19",True,"75,29","79,28","76,68",False,"35,18","35,61","35,40",True,"0,21","0,22","0,22",False,"14,63","15,21","14,89",True,"-0,22","0,25","0,00",False,"0,71","0,72","0,72",True,"3,23","3,38","3,31",True,"4,79","5,12","4,99",True,"8,89","9,31","9,10",True
