parameter,low,target,high,minimum,average,maximum,unit,min time,max time
inspiratory tidal volume,570,600,630,"598,584899950293","601,252087191251","605,630879019964",mL,00:00:37,00:03:59
peak flow,"71,25",75,"78,75","75,2019769677792","76,6412657453769","79,2773421203141",L/m,00:01:46,00:03:35
peak proximal pressure,"33,25",35,"36,75","35,1812355833333","35,3567994746997","35,608385",cmH2O,00:02:55,00:03:59
ie ratio,"0,2375","0,25","0,2625","0,211425206124853","0,21602822418283","0,225477707006369",,00:01:22,00:00:06
breath rate,"14,25",15,"15,75","14,5843461351483","14,9043221085565","15,5925155925156",bpm,00:01:22,00:00:06
high pressure,0,0,0,"-0,221728","0,00184172819999998","0,27716",psi,00:03:48,00:01:43
inspiratory time,"0,665","0,7","0,735","0,706","0,715178233333443","0,722",s,00:00:02,00:03:27
expiratory time,"3,135","3,3","3,465","3,14","3,31129079999867","3,396",s,00:00:05,00:01:21
peep,"4,75",5,"5,25","4,76542505555556","4,96991035400996","5,352598",cmH2O,00:01:33,00:00:33
minute volume,"8,645","9,1","9,555","8,88960538486429","9,09649260846094","9,55278550625758",L,00:03:27,00:00:37
